Date : 2023-01-30 23:38:47
Directory : q:\fydp\job
Total : 92 files,  33726 codes, 100 comments, 240 blanks, all 34066 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     30,070 |         10 |          3 |     30,083 |
| JavaScript |         47 |      2,413 |         46 |        156 |      2,615 |
| CSS        |         38 |      1,129 |         17 |         43 |      1,189 |
| HTML       |          2 |         62 |         25 |          3 |         90 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| YAML       |          1 |         14 |          2 |          2 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |         92 |     33,726 |        100 |        240 |     34,066 |
| . (Files)                                                               |          4 |     30,108 |         10 |         36 |     30,154 |
| .github                                                                 |          1 |         14 |          2 |          2 |         18 |
| .github\workflows                                                       |          1 |         14 |          2 |          2 |         18 |
| public                                                                  |          2 |         62 |         25 |          3 |         90 |
| src                                                                     |         85 |      3,542 |         63 |        199 |      3,804 |
| src (Files)                                                             |          3 |         95 |          0 |         10 |        105 |
| src\Components                                                          |         82 |      3,447 |         63 |        189 |      3,699 |
| src\Components\About                                                    |          3 |        110 |          4 |          5 |        119 |
| src\Components\ApplyNow                                                 |          2 |         93 |          4 |          4 |        101 |
| src\Components\BrowseCandidates                                         |          2 |         19 |          0 |          5 |         24 |
| src\Components\BrowseJob                                                |          2 |        206 |          4 |          7 |        217 |
| src\Components\BuyPackages                                              |          2 |         99 |          0 |          3 |        102 |
| src\Components\CandidateDashboard                                       |          2 |         27 |          0 |          5 |         32 |
| src\Components\CandidateManageJobs                                      |          2 |        138 |          3 |          5 |        146 |
| src\Components\CandidatePricingPlan                                     |          1 |         18 |          0 |          2 |         20 |
| src\Components\CandidateProfile                                         |          2 |         99 |          0 |          5 |        104 |
| src\Components\CandidateResume                                          |          1 |         18 |          0 |          2 |         20 |
| src\Components\CandidateSavejobs                                        |          1 |         18 |          0 |          2 |         20 |
| src\Components\ContactUs                                                |          5 |        148 |          2 |          8 |        158 |
| src\Components\ContactUs (Files)                                        |          3 |         72 |          2 |          5 |         79 |
| src\Components\ContactUs\ContactForm                                    |          2 |         76 |          0 |          3 |         79 |
| src\Components\DashboardHeading                                         |          2 |         17 |          0 |          2 |         19 |
| src\Components\DashboardStat                                            |          2 |         65 |          0 |          3 |         68 |
| src\Components\DashboardTop                                             |          4 |        173 |          0 |          9 |        182 |
| src\Components\EmployerDashboard                                        |          6 |        145 |          0 |         11 |        156 |
| src\Components\EmployerProfile                                          |          2 |         82 |          0 |          6 |         88 |
| src\Components\Footer                                                   |          2 |        286 |         11 |         11 |        308 |
| src\Components\HeroArea                                                 |          2 |        210 |          5 |          9 |        224 |
| src\Components\Home                                                     |          2 |        169 |         12 |         14 |        195 |
| src\Components\JobCards                                                 |          3 |        166 |          2 |          4 |        172 |
| src\Components\JobDetails                                               |          2 |        218 |          9 |         12 |        239 |
| src\Components\JobSingleCard                                            |          2 |        123 |          2 |          3 |        128 |
| src\Components\Login                                                    |          2 |         57 |          0 |          1 |         58 |
| src\Components\NoPage                                                   |          2 |         28 |          0 |          4 |         32 |
| src\Components\PostJob                                                  |          2 |         17 |          0 |          3 |         20 |
| src\Components\RecentAppliedJobs                                        |          2 |         36 |          0 |          3 |         39 |
| src\Components\Register                                                 |          6 |        141 |          0 |         12 |        153 |
| src\Components\RoundMenu                                                |          2 |         59 |          1 |          4 |         64 |
| src\Components\SecondarySingleCard                                      |          2 |         49 |          0 |          7 |         56 |
| src\Components\SectionHeader                                            |          2 |         23 |          0 |          2 |         25 |
