"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"q:\fydp\job\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 14, 2, 2, 18
"q:\fydp\job\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"q:\fydp\job\firebase.json", "JSON", 0, 0, 0, 7, 0, 0, 10, 0, 17
"q:\fydp\job\package-lock.json", "JSON", 0, 0, 0, 30063, 0, 0, 0, 1, 30064
"q:\fydp\job\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 1, 55
"q:\fydp\job\public\404.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 2, 22
"q:\fydp\job\public\index.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 5, 37
"q:\fydp\job\src\App.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 3, 55
"q:\fydp\job\src\Components\About\About.css", "CSS", 17, 0, 0, 0, 0, 0, 0, 0, 17
"q:\fydp\job\src\Components\About\About.js", "JavaScript", 0, 72, 0, 0, 0, 0, 4, 5, 81
"q:\fydp\job\src\Components\About\AboutCardData.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 21
"q:\fydp\job\src\Components\ApplyNow\ApplyNow.css", "CSS", 59, 0, 0, 0, 0, 0, 0, 4, 63
"q:\fydp\job\src\Components\ApplyNow\ApplyNow.js", "JavaScript", 0, 59, 0, 0, 0, 0, 4, 3, 66
"q:\fydp\job\src\Components\BrowseCandidates\BrowseCandidates.css", "CSS", 21, 0, 0, 0, 0, 0, 0, 0, 21
"q:\fydp\job\src\Components\BrowseCandidates\BrowseCandidates.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
"q:\fydp\job\src\Components\BrowseCandidates\CandiatesArea.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 3, 23
"q:\fydp\job\src\Components\BrowseCandidates\CandidatesCardContainer.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 1, 59
"q:\fydp\job\src\Components\BrowseJob\BrowseJob.css", "CSS", 106, 0, 0, 0, 0, 0, 0, 4, 110
"q:\fydp\job\src\Components\BrowseJob\BrowseJob.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
"q:\fydp\job\src\Components\BrowseJob\JobsArea.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"q:\fydp\job\src\Components\BrowseJob\JobsCardContainer.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 4, 62
"q:\fydp\job\src\Components\BrowseJob\LeftPanel.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 5, 98
"q:\fydp\job\src\Components\BrowseJob\allOptions.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 39
"q:\fydp\job\src\Components\BuyPackages\BuyPackages.css", "CSS", 102, 0, 0, 0, 0, 0, 1, 3, 106
"q:\fydp\job\src\Components\BuyPackages\BuyPackages.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 3, 67
"q:\fydp\job\src\Components\CandiateCardsData.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"q:\fydp\job\src\Components\CandiateSingleCard\CandidateSingleCard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\fydp\job\src\Components\CandiateSingleCard\CandidateSingleCard.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 2, 54
"q:\fydp\job\src\Components\CandidateCards\CandidateCards.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 4, 12
"q:\fydp\job\src\Components\CandidateDashboard\CandidateDashboard.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\fydp\job\src\Components\CandidateDashboard\CandidateDashboard.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
"q:\fydp\job\src\Components\CandidateDetails\CandidateDetails.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\CandidateDetails\CandidateDetails.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 3, 44
"q:\fydp\job\src\Components\CandidateManageJobs\CandidateManageJobs.css", "CSS", 18, 0, 0, 0, 0, 0, 0, 0, 18
"q:\fydp\job\src\Components\CandidateManageJobs\CandidateManageJobs.js", "JavaScript", 0, 120, 0, 0, 0, 0, 3, 5, 128
"q:\fydp\job\src\Components\CandidatePricingPlan\CandidatePricingPlan.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"q:\fydp\job\src\Components\CandidateProfile\CandidateProfile.css", "CSS", 16, 0, 0, 0, 0, 0, 0, 0, 16
"q:\fydp\job\src\Components\CandidateProfile\CandidateProfile.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 5, 88
"q:\fydp\job\src\Components\CandidateResume\Awards.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\CandidateResume\CandidateResume.css", "CSS", 7, 0, 0, 0, 0, 0, 0, 0, 7
"q:\fydp\job\src\Components\CandidateResume\CandidateResume.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"q:\fydp\job\src\Components\CandidateResume\CandidateResumeMainArea.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
"q:\fydp\job\src\Components\CandidateResume\Education.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\CandidateResume\PersonalInfo.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 2, 56
"q:\fydp\job\src\Components\CandidateResume\ProfessionalSkill.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 4, 113
"q:\fydp\job\src\Components\CandidateResume\WorkExperience.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\CandidateSavejobs\CandidateSavejobs.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"q:\fydp\job\src\Components\ContactUs\ContactForm\ContactForm.css", "CSS", 33, 0, 0, 0, 0, 0, 0, 1, 34
"q:\fydp\job\src\Components\ContactUs\ContactForm\ContactForm.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 2, 45
"q:\fydp\job\src\Components\ContactUs\ContactUs.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\ContactUs\ContactUs.js", "JavaScript", 0, 48, 0, 0, 0, 0, 2, 5, 55
"q:\fydp\job\src\Components\ContactUs\contactCardData.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 21
